cust_id,company1,city,type
CCGSWGR,CDN. COAST GUARD - SIR WILFRED GRENFELL,VICTORIA,TOWN
CCGSIR,CDN. COAST GUARD - SIR WILFRID LAURIER,VICTORIA,TOWN
CCGSTA,CDN. COAST GUARD - TANU,VICTORIA,TOWN
CCGSVE,CDN. COAST GUARD - VECTOR,VICTORIA,TOWN
ROMANSP,CEDAR GRILL,UCLUELET,FREIGHT
CEDARH,CEDAR HILL GOLF COURSE,VICTORIA,TOWN
CEDARCH,CEDARS AT COBBLE HILL (SGP) #51359,COBBLE HILL,UPISLAND
CEDARS,CEDARS(CPS)08107 7447,VICTORIA,TOWN
CEDRICKS,CEDRICKS CAFE & COFFEE HOUSE,CROFTON,UPISLAND
CENKEL,CENTENNIAL - KELOWNA,KELOWNA,N/A
CENCAL,CENTENNIAL FOODS - CALGARY,CALGARY,N/A
CENINT,CENTENNIAL FOODS - INTERBRANCH SALES,ACCOUNTS,LOOKUP
CENTREG,CENTENNIAL FOODS - REGINA,REGINA,N/A
CENTSAS,CENTENNIAL FOODS - SASKATOON,SASKATOON,LOOKUP
CENPRG,CENTENNIAL FOODSERVICE - PRINCE GEORGE,PRINCE GEORGE,N/A
CENRIC,CENTENNIAL FOODSERVICE - RICHMOND,RICHMOND,VAN
CENTHQ,CENTENNIAL FOODSERVICE CBC,CALGARY,N/A
CENTRA,CENTRAL SAANICH LITTLE LEAGUE,BRENTWOOD BAY,TOWN
CSSCA,CENTRAL SAANICH SENIOR CITIZENS ASSN,BRENTWOOD BAY,TOWN
CSVFA,CENTRAL SAANICH VOLUNTEER FIREFIGHTERS,SAANICHTON,TOWN
LAZCFB,CFB COMOX FOOD SERVICE,COMOX,FREIGHT
CDNCAN,CG -CANADIAN CANCER SOC. LODGE 63347,VICTORIA,TOWN
EUREST,CG -EUREST DINING SERVICES - # 60611,NANAIMO,UPISLAND
CHAKA,CHAKALAKA BAR & GRILL dba,LADYSMITH,UPISLAND
CHARIM,CHANCES RIMROCK GAMING CENTRE,PORT ALBERNI,FREIGHT
CHARLES,CHARLES DICKENS PUB,SIDNEY,TOWN
PARROT,CHATEAU VICTORIA,VICTORIA,TOWN
CHEFED,CHEF EDGE CATERING,VICTORIA,TOWN
CHEFON,CHEF ON THE RUN,SIDNEY,TOWN
CHSENSE,CHEFSENSE KITCHEN SUPPLIES,COURTENAY,FREIGHT
CHEHEA,CHEMAINUS HEALTH CARE (CPS) 08107 7329,CHEMANIUS,UPISLAND
CHEMPM,CHEMAINUS PUBLIC MARKET Ltd.,CHEMAINUS,UPISLAND
CHETHE,CHEMAINUS THEATRE SOCIETY,CHEMAINUS,UPISLAND
CHERISH,CHERISH AT CEN PRK dba(CPS) 08107 9064,VICTORIA,TOWN
CHEICE,CHERRIES ICE CREAM PARLOR 2017,DUNCAN,UPISLAND
CHERYL,CHERYL'S GOURMET PANTRY,VICTORIA,TOWN
CHILDR,CHILDREN OF THE ISL CHILDCARE CENTRE INC,VICTORIA,TOWN
CHOPPI,CHOPPING BLOCK,POWELL RIVER,FREIGHT
CHRISTI,CHRISTIE'S PUB dba,VICTORIA,TOWN
CHREST,CHUCK'S RESTAURANT GROUP LTD,VICTORIA,TOWN
CHUNKY,CHUNKY KITCHEN CATERING,VICTORIA,TOWN
SUNOC,CHURCH AND STATE WINES dba,BRENTWOOD BAY,TOWN
CHSTBAK,CHURCH ST. BAKERY,COMOX,FREIGHT
CIRCLE,CIRCLE DAIRY,PORT ALBERNI,FREIGHT
CLAMB,"CLAMBUCKET RESTAURANT LTD, THE",PORT ALBERNI,FREIGHT
CLARKE,CLARKE & CO,VICTORIA,TOWN
CLAYQU,CLAYOQUOT WILDERNESS RESORT,VANCOUVER,VAN
CLOVES,CLOVES CATERING,COURTENAY,FREIGHT
CLUXEWE,CLUXEWE WATERFRONT BISTRO dba,PORT HARDY,FREIGHT
COASTB,COAST BASTION HOTEL,NANAIMO,UPISLAND
CSTVIC,COAST VICTORIA HARBOURSIDE,VICTORIA,TOWN
COASTALC,COASTAL CHARTERS,TOFINO,FREIGHT
COASTC,COASTAL COOKERY LTD,POWELL RIVER,FREIGHT
CSTCUC,COASTAL CULINARY CREATIONS,NANAIMO,UPISLAND
COBBLS,COBBLESTONE INN LTD.,COBBLE HILL,UPISLAND
COCINA,COCINA PEQUENA,VICTORIA,TOWN
COCKNE,COCKNEY PRIDE,QUALICUM BEACH,FREIGHT
CODFSEA,COD FATHER SEAFOOD dba,PORT ALBERNI,FREIGHT
CODSQU,COD SQUAD FISH AND CHIPS dba,NANAIMO,UPISLAND
COFFEE,COFFEE ON THE MOON,DUNCAN,UPISLAND
COFFE,COFFEE SHACK,DUNCAN,UPISLAND
COKELY,COKELY MANOR      CPS  9214   7395,PARKSVILLE,UPISLAND
COMMON,COMMON GROUND SERVICES,COURTENAY,FREIGHT
CVSRVI,COMOX VALLEY SENIOR VILLAGE(SGP)#51274,COURTENAY,FREIGHT
COMPASS,COMPASS MEXICAN BISTRO dba,SHAWNIGAN LAKE,UPISLAND
COMPLE,COMPLETE CUISINE,VICTORIA,TOWN
CCHEF,CONVENIENT CHEF dba,POWELL RIVER,FREIGHT
COOKSTV,COOK STREET VILLAGE ACTIVITY CENTRE,VICTORIA,TOWN
COOKSR,COOKS RESAURANT dba,CUMBERLAND,FREIGHT
CORDBG,CORDOVA BAY GOLF COURSE,VICTORIA,TOWN
CORSOF,CORDOVA BAY SOFTBALL,VICTORIA,TOWN
CORNTABL,"CORNER TABLE, THE",SHAWNIGAN LAKE,UPISLAND
CORNERS,CORNERSTONE CAFE & TAPHOUSE dba,COURTENAY,FREIGHT
CORRUP,CORRUPTION CLUB,QUALICUM BEACH,FREIGHT
COSPIZ,COSMOS PIZZA & CHICKEN - COURTENAY,COURTENAY,FREIGHT
COSTAD,COSTA DEL SOL,POWELL RIVER,FREIGHT
COTTAGE,COTTAGE BAKERY & CAFE dba,VICTORIA,TOWN
COTTONW,COTTONWOOD GOLF INC.,CASSIDY,UPISLAND
COUNTR,COUNTRY GROCER - COBBLE HILL dba,COBBLE HILL,UPISLAND
COUNGR,COUNTRY GROCER - ESQUIMALT #2 dba,VICTORIA,TOWN
COUGR3,COUNTRY GROCER - W. SAANICH #3 dba,VICTORIA,TOWN
COUGNN,COUNTRY GROCER -Dufferin-NORTH NANAIMO,NANAIMO,UPISLAND
LAKECM,COUNTRY GROCER -LAKE COWICHAN,LAKE COWICHAN,UPISLAND
GANGES,COUNTRY GROCER -SALT SPRING,SALTSPRING ISLAND,UPISLAND
COUNTP,COUNTRY PIES,COOMBS,FREIGHT
COURMAR,COURTENAY COUNTRY MARKET LTD.,COURTENAY,FREIGHT
COWBAY,COW BAY MARINE PUB,COWICHAN BAY,UPISLAND
COWCAFE,COW CAFE AND COOKHOUSE L.C.,LAKE COWICHAN,UPISLAND
COWCAFW,COW CAFE WEST COAST GRILL dba,COWICHAN BAY,UPISLAND
COWDIS,COWICHAN DISTRICT HOSP. (CPS) 08107 7409,DUNCAN,UPISLAND
COWICL,COWICHAN LODGE(CPS) 08107 9189,DUNCAN,UPISLAND
COWPAS,COWICHAN PASTA COMPANY,COWICHAN BAY,UPISLAND
CSDRYGRD,COWICHAN SECONDARY DRY GRAD 2019,DUNCAN,UPISLAND
COWISOC,COWICHAN VALLEY SOCCER ASSOC.,DUNCAN,UPISLAND
SEREN,CPS SERENITY LODGE 8107 9031,NANAIMO,UPISLAND
CRABBO,CRABBY BOB'S SEAFOOD INC.,CAMPBELL RIVER,FREIGHT
CREDIT,CREDIT TO WRITE OFF ACCOUNT,,LOOKUP
CREEK,CREEKSIDE CUSTOM FOODS,DELTA,VAN
